epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.6188,0.97112,1.43602,2.0133,0.91748,0.93426,0.97985,0.89125,0.46243,0.51902,1.44489,0.0703191,0.00329787,0.00329787
2,81.3629,0.65428,0.54154,1.60776,0.94757,0.97479,0.99075,0.92942,0.422,0.34093,1.38402,0.0402973,0.00660932,0.00660932
3,121.068,0.57985,0.44951,1.58362,0.97851,0.9958,0.99269,0.93359,0.37949,0.30373,1.31219,0.0102534,0.00989877,0.00989877
4,160.695,0.54645,0.43598,1.58638,0.98493,0.9916,0.99348,0.93929,0.39031,0.27372,1.3141,0.009901,0.009901,0.009901
5,200.375,0.54982,0.42237,1.57042,0.9793,0.994,0.99138,0.94808,0.36703,0.26333,1.26916,0.009868,0.009868,0.009868
6,239.996,0.54145,0.41284,1.54612,0.9672,0.99105,0.99243,0.95322,0.35837,0.27638,1.26826,0.009835,0.009835,0.009835
7,279.668,0.52282,0.41033,1.53585,0.97615,0.97899,0.99129,0.94827,0.36698,0.2683,1.30694,0.009802,0.009802,0.009802
8,319.267,0.51483,0.3905,1.52897,0.96678,0.9958,0.99182,0.95443,0.35996,0.25939,1.27475,0.009769,0.009769,0.009769
9,358.959,0.49561,0.37958,1.47925,0.9794,0.99896,0.99205,0.95333,0.34141,0.24625,1.23942,0.009736,0.009736,0.009736
10,398.07,0.48846,0.37581,1.49082,0.9865,0.98739,0.99316,0.96609,0.3258,0.24385,1.2115,0.009703,0.009703,0.009703
11,437.267,0.47874,0.36823,1.45328,0.97933,0.99545,0.99273,0.96293,0.3317,0.24096,1.2018,0.00967,0.00967,0.00967
12,476.362,0.47936,0.36609,1.45739,0.9946,0.98739,0.99471,0.96271,0.32884,0.22285,1.16619,0.009637,0.009637,0.009637
13,515.518,0.47108,0.3691,1.45269,0.98257,0.9958,0.9945,0.95748,0.34965,0.23496,1.263,0.009604,0.009604,0.009604
14,554.634,0.47367,0.37067,1.47932,0.98194,0.9916,0.99427,0.95927,0.32744,0.22764,1.19817,0.009571,0.009571,0.009571
15,593.78,0.47457,0.36888,1.46096,0.98741,0.98864,0.99466,0.96036,0.32873,0.22712,1.19361,0.009538,0.009538,0.009538
16,632.87,0.47068,0.36708,1.44293,0.98722,0.9958,0.99329,0.96768,0.32081,0.2245,1.1829,0.009505,0.009505,0.009505
17,672.072,0.44837,0.3533,1.40108,0.97918,0.9958,0.99352,0.97066,0.2986,0.22703,1.15536,0.009472,0.009472,0.009472
18,711.225,0.45694,0.35896,1.43264,0.98069,0.9916,0.99398,0.96155,0.32727,0.237,1.19532,0.009439,0.009439,0.009439
19,750.358,0.4521,0.35554,1.41763,0.98285,0.9958,0.99299,0.96348,0.32671,0.22911,1.16815,0.009406,0.009406,0.009406
20,789.43,0.4466,0.34454,1.43003,0.98347,0.99963,0.99388,0.96123,0.32984,0.22997,1.20258,0.009373,0.009373,0.009373
21,828.563,0.44654,0.35172,1.39507,0.97868,0.9958,0.99305,0.9682,0.30727,0.21849,1.10135,0.00934,0.00934,0.00934
22,867.671,0.43885,0.34723,1.3918,0.99096,0.9916,0.99449,0.97067,0.30122,0.22143,1.13942,0.009307,0.009307,0.009307
23,906.878,0.4324,0.33815,1.38784,0.99375,0.98739,0.99432,0.96418,0.31568,0.22345,1.17757,0.009274,0.009274,0.009274
24,946.015,0.42272,0.33841,1.37983,0.99163,0.995,0.99479,0.97173,0.29223,0.20763,1.14796,0.009241,0.009241,0.009241
25,985.211,0.43085,0.33954,1.38821,0.97915,0.98643,0.99376,0.96876,0.30897,0.21974,1.18047,0.009208,0.009208,0.009208
26,1024.3,0.43709,0.34558,1.39589,1,0.99004,0.995,0.97252,0.30361,0.20775,1.16369,0.009175,0.009175,0.009175
27,1063.48,0.43149,0.34273,1.39959,0.99577,0.98988,0.99496,0.96609,0.30621,0.21617,1.13602,0.009142,0.009142,0.009142
28,1102.58,0.42606,0.33842,1.36171,0.98735,1,0.99492,0.9688,0.30158,0.21177,1.13762,0.009109,0.009109,0.009109
29,1141.73,0.42064,0.33302,1.37668,0.98753,0.99797,0.99418,0.97302,0.28119,0.21231,1.10235,0.009076,0.009076,0.009076
30,1180.87,0.41882,0.32779,1.35411,0.99427,0.9916,0.9947,0.9756,0.28666,0.20729,1.1355,0.009043,0.009043,0.009043
