epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.62653,1.2833,2.92553,2.30721,0.94412,0.97143,0.97943,0.83682,0.60415,1.58085,1.37049,0.0847,0.0017,0.0017
2,12.0638,0.79872,0.935,1.63948,0.92931,1,0.99392,0.9012,0.43674,0.61895,1.25374,0.0684885,0.00348845,0.00348845
3,17.4967,0.71915,0.58589,1.48998,0.98408,1,0.995,0.90228,0.41266,0.3376,1.25471,0.052265,0.00526502,0.00526502
4,21.7275,0.6907,0.4919,1.47596,0.99637,1,0.995,0.91245,0.46737,0.29856,1.22708,0.0360297,0.00702971,0.00702971
5,26.836,0.71289,0.52841,1.47266,0.99827,1,0.995,0.90619,0.48858,0.28337,1.37933,0.0197825,0.00878252,0.00878252
6,32.166,0.68321,0.50507,1.4528,0.99793,1,0.995,0.91665,0.41191,0.29389,1.30346,0.009835,0.009835,0.009835
7,37.4839,0.62823,0.49482,1.45169,0.99821,1,0.995,0.91756,0.42821,0.29941,1.21872,0.009802,0.009802,0.009802
8,42.2661,0.59628,0.48829,1.50409,0.99836,1,0.995,0.91926,0.38102,0.28793,1.13448,0.009769,0.009769,0.009769
9,47.1152,0.57592,0.46245,1.45296,0.99859,1,0.995,0.93389,0.41032,0.27617,1.25076,0.009736,0.009736,0.009736
10,52.618,0.56307,0.44721,1.47441,0.99874,1,0.995,0.94587,0.35219,0.29326,1.2246,0.009703,0.009703,0.009703
11,57.9173,0.5258,0.41946,1.46553,0.99843,1,0.995,0.95889,0.30832,0.23939,1.17486,0.00967,0.00967,0.00967
12,62.7014,0.54365,0.42289,1.43017,0.99827,1,0.995,0.95671,0.36855,0.2618,1.20034,0.009637,0.009637,0.009637
13,67.4225,0.52059,0.38363,1.38491,0.99674,1,0.995,0.97155,0.29828,0.23178,1.12424,0.009604,0.009604,0.009604
14,72.6784,0.5252,0.4146,1.48402,0.9981,1,0.995,0.96305,0.36755,0.29727,1.19395,0.009571,0.009571,0.009571
15,77.8775,0.52721,0.40036,1.48884,0.99613,1,0.995,0.95228,0.34214,0.2598,1.14922,0.009538,0.009538,0.009538
16,82.813,0.52718,0.40014,1.48995,0.9967,1,0.995,0.96277,0.33721,0.26861,1.24471,0.009505,0.009505,0.009505
17,87.3706,0.50341,0.37211,1.38233,0.99821,1,0.995,0.97146,0.33732,0.26973,1.07357,0.009472,0.009472,0.009472
18,92.5826,0.50015,0.3753,1.43825,0.99824,1,0.995,0.9563,0.36925,0.25219,1.06176,0.009439,0.009439,0.009439
19,97.9153,0.52375,0.39476,1.39811,0.99528,1,0.995,0.94055,0.418,0.3179,1.17738,0.009406,0.009406,0.009406
20,102.925,0.51533,0.38651,1.39039,0.99746,1,0.995,0.9719,0.3162,0.26116,1.08187,0.009373,0.009373,0.009373
21,107.421,0.50458,0.38175,1.44997,0.99842,1,0.995,0.96537,0.29918,0.21438,1.19787,0.00934,0.00934,0.00934
22,112.681,0.49033,0.37724,1.41674,0.99841,1,0.995,0.97993,0.29085,0.23831,1.17301,0.009307,0.009307,0.009307
23,117.947,0.46203,0.36292,1.39623,0.99822,1,0.995,0.97172,0.26916,0.23715,1.13973,0.009274,0.009274,0.009274
24,123.122,0.47833,0.35253,1.38166,0.99843,1,0.995,0.97603,0.31032,0.23953,1.14297,0.009241,0.009241,0.009241
25,127.219,0.47853,0.36761,1.39943,0.99844,1,0.995,0.95617,0.33846,0.26059,1.1256,0.009208,0.009208,0.009208
26,132.475,0.50764,0.38077,1.50077,0.99834,1,0.995,0.97043,0.32588,0.24566,1.06404,0.009175,0.009175,0.009175
27,137.683,0.50578,0.38393,1.44331,0.99839,1,0.995,0.98465,0.29735,0.20586,1.08504,0.009142,0.009142,0.009142
28,142.989,0.47884,0.35997,1.38998,0.99838,1,0.995,0.97843,0.33306,0.2207,1.23489,0.009109,0.009109,0.009109
29,147.326,0.47484,0.35468,1.42356,0.99835,1,0.995,0.97907,0.29258,0.21606,1.19774,0.009076,0.009076,0.009076
30,152.453,0.47408,0.35797,1.34053,0.9983,1,0.995,0.98054,0.31865,0.23287,1.05954,0.009043,0.009043,0.009043
31,157.814,0.47561,0.36018,1.3785,0.99833,1,0.995,0.97402,0.28496,0.22422,1.05687,0.00901,0.00901,0.00901
32,163.294,0.49604,0.37243,1.42911,0.99836,1,0.995,0.97476,0.26624,0.21534,1.1326,0.008977,0.008977,0.008977
33,167.782,0.47187,0.35134,1.36746,0.99847,1,0.995,0.97655,0.26581,0.21824,1.16892,0.008944,0.008944,0.008944
34,172.827,0.4653,0.34969,1.33963,0.99832,1,0.995,0.96346,0.3125,0.23374,1.35774,0.008911,0.008911,0.008911
35,178.226,0.4545,0.33812,1.37275,0.99836,1,0.995,0.9772,0.30756,0.23406,1.08855,0.008878,0.008878,0.008878
36,183.625,0.46485,0.35265,1.37106,0.99836,1,0.995,0.97619,0.28104,0.21618,1.19158,0.008845,0.008845,0.008845
37,188.409,0.44721,0.35034,1.38631,0.9986,1,0.995,0.98667,0.2688,0.21658,1.08056,0.008812,0.008812,0.008812
38,193.586,0.45878,0.34721,1.3472,0.99869,1,0.995,0.98029,0.26573,0.19739,1.26434,0.008779,0.008779,0.008779
39,198.872,0.46239,0.35891,1.40789,0.99872,1,0.995,0.97996,0.27265,0.20614,1.17414,0.008746,0.008746,0.008746
40,204.18,0.43597,0.34081,1.36931,0.99837,1,0.995,0.9759,0.2635,0.19267,1.21724,0.008713,0.008713,0.008713
41,209.126,0.44997,0.35971,1.41936,0.99778,1,0.995,0.98049,0.28729,0.22915,1.09252,0.00868,0.00868,0.00868
42,213.966,0.42416,0.32409,1.32629,0.99831,1,0.995,0.97686,0.27318,0.21715,1.12571,0.008647,0.008647,0.008647
