epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3368,1.01588,3.69454,0.69757,1.16528,1.3222,0.99981,1,0.995,0.86864,0.98342,0.98361,0.97995,0.92341,0.5366,0.46456,0.54418,0.33172,0.95208,0.0703896,0.00329004,0.00329004
2,43.7536,0.61466,0.57082,0.54008,0.39243,1.03315,0.99966,1,0.995,0.86218,0.98327,0.98361,0.98073,0.97215,0.63102,0.27947,0.26877,0.298,0.9839,0.0403678,0.00660152,0.00660152
3,64.3237,0.64976,0.46095,0.36699,0.42435,1.04049,0.99315,1,0.995,0.9123,0.97687,0.98361,0.97703,0.93892,0.43708,0.37088,0.0448,0.37022,0.87838,0.0103239,0.009891,0.009891
4,85.1701,0.6883,0.41362,0.24617,0.45427,1.05077,0.99381,1,0.99497,0.88441,0.97816,0.98361,0.98196,0.97719,0.53438,0.27513,0.03065,0.36044,0.93763,0.009901,0.009901,0.009901
5,105.88,0.64084,0.31285,0.16923,0.41711,1.03426,0.99962,1,0.995,0.89074,0.9934,0.98638,0.9845,0.97878,0.50739,0.29139,0.02008,0.32235,0.90899,0.009868,0.009868,0.009868
6,126.659,0.62797,0.28994,0.14205,0.40538,1.0314,0.99881,0.99672,0.995,0.92602,0.98659,0.98361,0.98347,0.98342,0.39925,0.18625,0.01144,0.32501,0.86711,0.009835,0.009835,0.009835
7,147.263,0.60993,0.27902,0.12063,0.39259,1.02191,0.99971,1,0.995,0.91875,0.98713,0.98689,0.98117,0.97978,0.4298,0.20774,0.011,0.29214,0.86992,0.009802,0.009802,0.009802
8,168.108,0.59969,0.27851,0.11803,0.38475,1.01375,0.99977,1,0.995,0.8744,0.98994,0.99016,0.98864,0.98358,0.52069,0.15398,0.01022,0.32,0.9161,0.009769,0.009769,0.009769
9,189.335,0.58939,0.23194,0.10125,0.37271,1.01102,0.99935,1,0.995,0.89789,0.98945,0.98361,0.98987,0.9839,0.49328,0.17565,0.01876,0.25151,0.89266,0.009736,0.009736,0.009736
10,210.826,0.57871,0.22645,0.10007,0.36658,1.00332,0.99978,1,0.995,0.91616,0.98339,0.98361,0.97925,0.9792,0.39573,0.15851,0.01229,0.24485,0.86379,0.009703,0.009703,0.009703
11,231.807,0.55389,0.20651,0.0909,0.35651,0.99896,0.99968,1,0.995,0.87844,0.99312,0.99344,0.99066,0.95208,0.57028,0.31714,0.118,0.29087,0.94478,0.00967,0.00967,0.00967
12,253.342,0.54282,0.23583,0.09768,0.35108,0.99374,0.99899,1,0.995,0.89173,0.98916,0.99016,0.99012,0.98096,0.53739,0.14335,0.0077,0.27184,0.91371,0.009637,0.009637,0.009637
13,274.245,0.52978,0.19826,0.08696,0.34405,0.9894,0.99974,1,0.995,0.93332,0.99319,0.99344,0.9938,0.99044,0.35844,0.1137,0.01685,0.22135,0.8516,0.009604,0.009604,0.009604
14,295.027,0.52656,0.19375,0.09296,0.33903,0.98785,0.99974,1,0.995,0.94045,0.9899,0.99016,0.98788,0.98282,0.3464,0.14624,0.02005,0.21265,0.84859,0.009571,0.009571,0.009571
15,316.355,0.51314,0.21103,0.09615,0.3307,0.9905,0.99836,0.99672,0.995,0.94054,0.98851,0.98689,0.99341,0.9879,0.35653,0.16514,0.02386,0.25968,0.85316,0.009538,0.009538,0.009538
16,335.854,0.49971,0.1766,0.08578,0.32981,0.98269,0.99977,1,0.995,0.94954,0.98927,0.98689,0.98745,0.98676,0.32353,0.16322,0.00915,0.20935,0.84177,0.009505,0.009505,0.009505
17,357.045,0.49569,0.18943,0.07817,0.32331,0.97709,0.99977,1,0.995,0.94028,0.98993,0.99016,0.99192,0.98882,0.35533,0.13114,0.01088,0.19751,0.84957,0.009472,0.009472,0.009472
18,377.717,0.48479,0.19035,0.08624,0.31701,0.97053,0.99981,1,0.995,0.94642,0.98998,0.99016,0.99396,0.98841,0.33199,0.21842,0.00502,0.20208,0.84289,0.009439,0.009439,0.009439
19,397.447,0.46947,0.19134,0.08225,0.31237,0.96914,0.99959,1,0.995,0.95196,0.99303,0.99344,0.99245,0.98878,0.32392,0.12063,0.01658,0.2057,0.84061,0.009406,0.009406,0.009406
